1	 0.2113	 0.0001
2	 0.5043	 0.0007
4	 1.8178	 0.0037
8	 3.4860	 0.0040
16	 7.7488	 0.0151
32	17.8334	 0.0802
64	27.1318	 0.1816
128	41.2458	 0.5303
